connector,connector_version,provider_family,model,requested_model,response_model,sample_kind,sample_index,reasoning_requested,reasoning_effective,structured_output_mode,provider_terminal_status,http_status,process_exit_code,finish_reason,assistant_output_bytes,assistant_output_sha256,dialect,current_parser_outcome,current_parser_error,transport_anomaly,extraction_anomaly,repeat_candidate,selection_source,exact_overlap_identity_if_any,run_relative_path
codex,codex-cli 0.153.4,,gpt-5.5,gpt-5.5,,baseline,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,15305,08121bc9dbef8da0126d646f3b076a9f165b4ac79343ac6d7c1ab21d13615336,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.5/low/run-001
codex,codex-cli 0.153.4,,gpt-5.5,gpt-5.5,,baseline,1,xhigh,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,19210,91d07e33379c3a2a13c1e76d19ffb584be43ee9173c99bce2925351de1bee33e,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.5/xhigh/run-001
codex,codex-cli 0.153.4,,gpt-5.6-luna,gpt-5.6-luna,,baseline,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,15479,bf817f52bf6f834f95291826d522ebdbe5c4fd147c2eb72befab31c3891dcced,TRUNCATED,FAIL,PM_DECISION_PARSE_FAILED,,,,,,gpt-5.6-luna/low/run-001
codex,codex-cli 0.153.4,,gpt-5.6-luna,gpt-5.6-luna,,repeat,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,15725,50cb7cec5775f6b2ce78351e428de35b423683c8123b3e4a05546348e6f3b568,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-luna/low/run-002
codex,codex-cli 0.153.4,,gpt-5.6-luna,gpt-5.6-luna,,repeat,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,12121,15afe0bb005bf273f5920730c949a4fe8183182334a48956a87de01446df5813,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-luna/low/run-003
codex,codex-cli 0.153.4,,gpt-5.6-luna,gpt-5.6-luna,,baseline,1,max,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,16425,3a6d8d01e5540b66750c8eec195f1750b2eb4464d656661e0db13fd14f059312,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-luna/max/run-001
codex,codex-cli 0.153.4,,gpt-5.6-sol,gpt-5.6-sol,,baseline,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,17196,9739b0d8f0e24d61ac738c71b88fe39cebb9a8682e73308d356b3816a2a65d50,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-sol/low/run-001
codex,codex-cli 0.153.4,,gpt-5.6-sol,gpt-5.6-sol,,baseline,1,ultra,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,18022,e7672d07dd608486ffe53520ef15c3690ab3e8c86d7c149f57386e481a98f5fe,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-sol/ultra/run-001
codex,codex-cli 0.153.4,,gpt-5.6-terra,gpt-5.6-terra,,baseline,1,low,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,14864,aca2fb7849c1fc701a1301f3c2376b232be8ec3d82b3ece90cdc647ba97cf652,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-terra/low/run-001
codex,codex-cli 0.153.4,,gpt-5.6-terra,gpt-5.6-terra,,baseline,1,ultra,,NONE,PROVIDER_TERMINAL_SUCCESS_IMPLIED,,0,,17874,ae72971b08b6660b137a3ea36a539233f877df0030079753e125b738db8721a1,RAW_CANONICAL_JSON,PASS,,,,,,,gpt-5.6-terra/ultra/run-001
