sample_id,category,transport_status,provider_http_status,terminal_response_present,terminal_response_bytes
antigravity/gemini-3.6-flash-medium/medium/run-001,TERMINAL_ERROR_WITH_RESPONSE_PRESENT,PROCESS_EXIT_0,,true,16286
antigravity/gpt-oss-120b-medium/medium/run-003,TERMINAL_ERROR_EMPTY,PROCESS_EXIT_1,,false,0
opencode/opencode-go-kimi-k2.6/default/run-001,TIMEOUT,OPENCODE_TIMEOUT,,,
opencode/opencode-go-longcat-2.0/high/run-003,TIMEOUT,OPENCODE_TIMEOUT,,,
opencode/opencode-go-longcat-2.0/low/run-002,TIMEOUT,OPENCODE_TIMEOUT,,,
opencode/opencode-go-muse-spark-1.2-contributor/minimal/run-001,HTTP_403,OPENCODE_RUN_FAILED,403,,
opencode/opencode-go-muse-spark-1.2-contributor/xhigh/run-001,HTTP_403,OPENCODE_RUN_FAILED,403,,
opencode/opencode-go-muse-spark-1.3-contributor/minimal/run-001,HTTP_403,OPENCODE_RUN_FAILED,403,,
opencode/opencode-go-muse-spark-1.3-contributor/xhigh/run-001,HTTP_403,OPENCODE_RUN_FAILED,403,,
api/openrouter/anthropic-claude-fable-5.1/high/run-001,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/anthropic-claude-fable-5.1/low/run-001,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/anthropic-claude-opus-5/high/run-001,CONTENT_FILTER_EMPTY,API_EMPTY_RESPONSE,200,,
api/openrouter/anthropic-claude-opus-5/high/run-002,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/anthropic-claude-opus-5/high/run-003,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/anthropic-claude-opus-5/low/run-001,CONTENT_FILTER_EMPTY,API_EMPTY_RESPONSE,200,,
api/openrouter/anthropic-claude-opus-5/low/run-002,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/anthropic-claude-opus-5/low/run-003,HTTP_402,API_BILLING_FAILED,402,,
api/openrouter/z-ai-glm-5.3-flash/low/run-001,BODY_ABORT,API_NETWORK_ERROR,200,,
